x,y
181,114
226,114
107,130
119,130
149,130
186,129
219,129
230,129
164,160
156,168
176,168
164,194
165,213
164,251
148,142
214,141
151,222
207,223
119,132
160,130
196,133
238,132
117,146
130,146
162,147
198,146
232,145
244,144
180,180
169,189
189,189
178,215
178,241
177,275
163,132
220,130
165,196
219,195
142,123
176,117
202,117
238,119
137,138
149,135
173,135
210,132
234,134
244,136
189,152
182,161
200,161
190,184
190,201
191,244
160,134
214,131
164,193
211,191
139,126
168,118
198,120
231,120
135,140
148,137
170,135
200,134
226,134
238,137
184,152
177,159
194,159
185,180
186,200
186,236
146,111
205,108
150,176
204,174
121,104
155,95
185,96
223,94
118,117
133,114
156,114
193,111
219,111
231,111
176,132
166,141
184,141
176,163
176,184
176,223
147,131
206,129
151,200
204,198
123,122
159,118
186,117
224,116
120,138
135,134
158,134
194,133
217,132
232,135
175,159
166,166
184,166
176,189
176,210
176,245
150,118
207,115
153,180
208,181
129,109
160,102
191,103
224,104
124,126
138,121
160,121
195,118
218,118
232,124
178,138
169,145
187,144
177,168
178,185
178,226
152,121
209,117
156,183
207,180
128,113
162,106
191,105
226,105
126,128
141,124
161,123
198,121
221,120
235,123
179,140
171,148
189,147
181,170
181,186
182,227
156,123
212,121
159,185
212,183
135,115
167,109
195,109
229,109
129,130
144,126
167,126
201,125
223,124
240,126
185,143
175,152
192,152
185,174
185,189
187,227
147,126
204,124
151,189
203,189
125,119
157,113
188,113
222,113
123,132
137,129
156,129
194,128
216,127
231,130
174,147
167,156
184,156
175,178
176,196
176,234
162,143
218,140
164,208
215,206
141,134
170,129
200,129
235,129
137,146
151,145
171,145
207,143
228,142
244,142
188,168
181,176
197,175
189,199
189,211
189,253
160,140
215,138
162,205
213,204
139,131
171,128
199,128
231,128
134,145
148,143
171,144
205,142
227,142
241,143
185,166
177,172
195,172
186,194
185,210
186,248
151,140
206,138
154,201
203,200
130,130
163,125
190,126
223,124
126,144
141,142
160,141
196,140
216,139
232,140
177,161
168,168
186,168
177,190
177,206
178,243
160,157
213,156
161,218
209,219
140,147
170,145
199,144
230,145
137,159
149,159
169,159
203,158
224,159
237,159
185,182
177,188
194,189
184,210
184,223
184,263
167,144
219,143
171,203
219,204
145,138
177,132
203,134
238,133
141,153
156,147
175,147
208,146
231,146
244,150
193,163
185,172
202,171
194,192
194,208
194,244
149,126
205,124
152,186
206,185
131,118
160,113
189,113
223,114
127,137
138,129
159,129
194,127
216,126
229,130
176,142
168,151
185,151
177,171
177,186
179,224
147,137
202,134
152,196
203,194
125,127
157,121
186,121
218,120
122,143
137,138
157,138
191,135
212,135
227,137
174,154
167,162
183,161
176,183
176,199
177,238
164,144
217,141
168,197
217,196
145,132
173,127
203,125
233,125
139,149
156,146
174,143
208,141
227,142
240,145
189,155
183,164
198,163
191,184
192,200
192,236
160,142
214,138
166,199
215,199
142,132
171,126
199,125
232,126
137,147
150,144
170,143
203,141
225,140
239,143
187,159
179,166
195,166
187,188
187,202
189,239
164,144
216,141
168,200
217,196
143,135
173,130
202,128
232,126
139,151
155,147
173,144
206,143
226,142
239,144
190,159
182,166
199,165
191,187
192,201
194,239
169,143
223,138
173,200
223,197
148,127
178,116
206,116
241,120
144,148
159,143
179,143
212,140
232,139
247,141
196,158
188,166
204,164
197,187
198,202
199,240
163,154
214,151
166,208
215,206
141,143
174,138
199,140
233,138
138,159
154,156
172,154
204,152
224,152
238,155
188,168
180,176
196,176
189,196
189,211
191,246
169,157
219,153
173,207
220,206
149,147
176,142
206,141
239,141
144,165
159,159
177,158
210,156
229,155
242,159
195,169
187,178
202,177
195,197
195,211
197,248
188,108
240,108
193,161
236,159
169,96
198,95
227,96
257,96
165,111
178,110
198,108
231,108
248,110
260,114
214,127
207,131
222,132
214,152
215,170
215,196
144,95
208,94
153,156
200,156
123,79
157,83
189,83
227,79
119,95
133,96
155,96
196,94
218,95
233,95
174,124
165,130
184,130
175,152
174,168
175,199
151,72
212,72
153,132
205,131
130,61
161,59
191,58
232,60
129,78
140,75
161,72
200,72
222,74
238,77
176,91
167,100
185,100
176,122
176,144
177,174
145,79
206,76
151,139
201,137
124,69
155,65
186,64
226,66
123,84
136,81
154,79
195,76
215,78
231,81
171,98
164,106
180,106
173,130
173,149
176,180
151,80
237,86
152,176
224,179
116,55
175,57
213,60
275,69
110,78
133,79
169,84
218,87
254,89
275,93
189,128
175,138
202,140
185,169
183,198
180,242
157,93
234,95
158,179
228,180
125,72
177,69
213,71
266,78
118,95
141,94
171,96
219,97
250,99
267,102
193,127
181,137
205,137
192,162
193,197
191,235
165,80
246,84
164,164
243,166
135,60
192,56
225,62
282,75
134,81
150,81
186,84
230,87
264,88
285,97
206,117
191,125
219,126
204,149
202,187
199,231
156,52
244,56
154,144
239,146
118,28
181,23
220,25
282,38
111,53
137,51
172,54
228,55
262,58
285,62
197,90
183,98
212,100
195,126
195,165
194,215
153,46
244,49
154,141
236,142
114,22
179,15
216,17
282,33
109,47
135,46
170,47
227,49
260,51
284,52
194,81
180,92
208,92
193,121
193,162
189,209
150,77
236,77
155,166
233,163
114,52
175,44
214,46
273,55
113,79
135,78
170,76
219,76
253,79
276,77
191,110
179,118
206,118
192,144
193,185
194,228
148,99
230,100
159,190
234,189
118,83
178,74
213,76
272,88
116,106
136,101
172,102
220,103
254,103
274,110
194,134
182,144
207,143
193,170
194,207
194,248
143,96
222,93
147,183
224,180
109,78
163,71
200,69
257,76
106,103
129,99
159,98
207,97
237,95
261,98
180,135
168,142
195,140
183,167
184,201
184,244
160,77
244,75
165,172
243,168
120,57
180,48
216,48
282,56
118,82
143,79
175,79
229,77
261,76
284,76
199,115
186,123
215,121
200,149
202,194
204,237
160,61
248,63
160,153
242,153
123,39
185,31
223,33
286,47
119,63
145,62
177,63
231,64
267,66
287,71
202,96
187,105
215,105
200,134
199,173
197,220
156,65
245,68
155,160
240,162
118,42
183,36
220,37
284,52
114,68
138,66
175,67
227,70
263,71
287,75
198,103
184,113
213,113
197,141
196,188
194,232
157,71
246,75
155,167
240,168
116,48
181,42
221,45
285,58
114,71
139,72
174,74
229,76
266,77
287,78
198,112
183,121
213,121
196,149
196,192
196,238
168,93
247,93
171,180
244,177
131,77
188,69
222,69
281,77
128,98
151,95
182,95
232,94
264,94
285,95
206,126
193,136
218,134
205,161
208,198
208,239
156,91
235,92
161,175
229,174
121,73
177,66
212,66
268,73
118,94
138,92
170,92
219,92
252,93
271,94
192,125
181,132
205,132
191,157
193,192
195,236
156,99
237,98
156,184
236,183
120,79
178,75
213,76
272,79
115,101
140,99
173,100
221,99
255,99
279,100
195,138
181,144
209,144
194,168
194,206
195,251
150,84
232,84
154,171
228,170
115,63
171,56
208,58
266,65
111,90
134,86
166,85
215,85
248,86
269,89
189,119
176,126
202,125
189,151
189,189
186,235
165,109
244,105
174,197
240,194
130,90
185,84
221,83
277,85
126,113
149,110
180,109
229,108
259,107
280,106
202,144
191,153
217,151
204,177
206,219
209,260
160,96
242,96
162,185
240,183
122,79
182,69
217,70
278,78
119,100
142,97
177,98
225,98
259,97
280,97
200,133
187,140
214,138
200,164
201,206
201,253
154,84
236,85
155,172
231,172
118,64
172,57
210,59
272,68
114,87
139,87
170,87
221,87
251,87
275,93
192,122
179,128
205,128
192,154
191,191
191,236
155,88
239,92
156,171
228,172
118,63
176,56
215,58
272,68
114,87
136,86
174,85
219,88
254,91
275,93
193,121
180,126
206,127
192,153
191,191
191,236
155,137
236,139
162,224
229,225
123,110
177,113
216,112
271,111
116,134
142,137
170,138
223,138
255,139
276,140
193,188
180,190
208,190
194,216
194,247
192,282
152,79
237,78
157,173
234,172
114,60
172,54
211,52
270,54
111,84
135,81
167,81
220,81
253,79
278,82
192,121
178,129
206,128
193,157
194,195
193,238
147,63
234,62
152,157
228,154
112,43
168,37
206,36
270,41
108,68
130,66
162,65
218,63
248,63
274,64
185,99
173,109
200,108
188,137
189,176
189,222
150,88
236,86
156,181
230,180
114,67
170,61
210,61
272,65
110,90
135,90
166,89
220,88
249,88
277,89
190,130
177,136
204,136
190,164
191,202
189,245
153,84
240,84
157,175
234,173
119,59
173,57
211,56
271,59
115,88
140,86
169,85
223,85
255,86
278,86
192,125
180,131
207,129
194,158
194,195
194,239
160,103
242,101
163,196
236,193
123,83
179,78
214,77
277,80
118,105
143,105
173,105
224,104
257,101
285,104
196,149
183,153
210,152
197,179
198,215
198,256
153,166
233,163
162,246
232,241
120,151
170,139
213,134
261,141
114,177
138,169
168,166
218,164
249,165
264,166
201,200
188,209
208,209
200,229
201,256
200,289
150,147
235,143
157,228
237,225
117,134
168,120
214,117
262,124
112,161
133,151
169,148
217,147
251,146
267,149
199,180
187,191
208,191
198,213
198,239
198,290
145,127
229,122
156,211
229,206
114,113
162,97
206,93
258,106
111,136
130,132
161,127
212,123
245,125
262,127
190,147
180,158
200,159
192,178
195,228
194,270
146,129
229,122
156,211
229,206
114,117
162,97
206,93
258,106
111,136
129,134
163,128
212,123
245,125
262,127
190,147
180,158
200,157
192,178
195,228
194,270
148,127
233,120
160,210
234,204
117,117
164,95
211,89
264,106
115,141
134,132
165,126
217,122
249,123
265,124
194,144
183,157
204,157
195,179
198,226
194,270
149,126
232,121
160,205
233,201
117,117
165,95
211,89
264,106
115,141
131,132
165,126
217,122
249,125
265,124
194,144
183,157
204,157
195,177
197,223
198,264
156,142
240,135
169,223
240,217
123,134
172,113
219,106
269,117
126,153
140,147
172,142
223,138
257,138
273,141
201,164
191,177
212,176
204,198
206,235
209,280
145,128
227,121
155,206
232,200
111,124
160,99
207,92
256,107
114,143
130,135
160,128
209,124
247,126
260,130
189,143
179,156
201,156
192,177
194,219
198,261
150,135
232,129
160,215
234,210
118,126
165,107
210,101
261,114
119,147
135,140
164,135
215,131
250,133
265,136
194,154
184,165
204,164
196,186
198,227
202,271
152,139
234,134
162,221
234,215
119,130
168,109
214,105
263,119
115,155
138,144
166,139
219,136
248,138
266,145
197,160
186,171
206,171
196,191
199,239
202,277
146,135
228,127
160,212
232,204
114,126
161,105
207,99
257,111
116,147
131,140
160,134
213,129
244,129
261,134
189,152
182,163
201,163
194,183
195,222
197,268
157,137
239,131
168,218
239,213
126,124
171,106
220,101
268,115
123,148
142,141
173,136
222,133
255,134
271,136
202,155
191,168
211,168
202,188
203,234
205,277
155,142
236,136
168,222
236,218
123,130
168,110
216,106
265,121
122,155
138,147
170,142
219,138
253,139
268,143
198,161
189,172
209,172
199,194
202,239
205,278
145,128
231,123
159,212
227,208
114,114
160,96
209,91
260,106
110,145
127,134
161,127
214,124
248,127
264,131
191,148
181,160
200,160
191,183
194,228
196,271
166,67
223,67
171,126
219,125
143,53
172,53
207,54
240,52
137,67
153,67
174,67
213,67
231,67
246,67
192,96
185,100
202,100
194,121
194,136
194,164
175,89
225,89
185,143
219,143
157,79
185,78
215,77
242,76
151,91
166,90
184,90
219,89
234,90
249,90
202,111
194,116
209,116
201,134
201,154
202,184
176,91
226,92
182,143
221,142
159,81
186,80
214,80
240,79
152,92
166,92
184,92
218,93
235,92
251,92
202,115
193,118
209,118
200,135
200,151
200,179
183,89
232,90
191,139
227,139
166,78
193,78
222,77
246,78
162,93
174,90
193,90
223,90
240,91
254,91
207,107
201,113
215,113
207,129
208,148
208,178
196,105
245,104
206,160
240,159
177,96
206,94
234,93
261,94
174,106
187,105
205,106
237,105
253,105
267,105
223,127
216,132
231,133
223,150
223,171
224,196
171,60
231,60
184,126
224,125
150,46
182,45
215,49
253,48
145,59
160,62
181,61
221,62
242,63
256,62
205,88
195,93
213,92
204,114
204,140
205,172
162,55
223,55
173,121
218,119
146,43
174,42
210,41
244,43
137,58
151,57
173,58
214,56
234,57
249,57
195,82
186,87
204,87
195,109
195,130
197,167
195,81
256,81
208,146
251,145
174,71
206,67
241,67
275,67
172,84
185,83
206,83
246,83
266,84
283,82
227,106
219,112
236,113
227,133
228,156
231,192
169,116
232,114
179,179
228,182
153,103
184,100
221,102
250,101
148,116
160,117
180,117
222,116
243,116
255,115
203,144
194,149
214,151
204,170
204,196
201,225
167,111
228,107
181,171
225,173
150,97
180,93
218,95
248,95
145,117
158,112
178,111
219,109
238,109
254,115
202,138
191,142
211,143
202,162
201,184
199,214
165,120
235,117
179,178
225,180
150,97
181,95
222,96
248,97
142,118
156,120
177,116
222,116
242,117
253,116
202,143
193,148
213,149
202,169
200,193
198,223
164,113
227,111
177,176
222,178
143,103
178,93
217,93
245,98
139,119
154,116
174,114
217,112
237,112
253,114
198,143
188,147
208,148
198,166
199,190
198,222
156,118
223,114
172,185
217,186
135,106
172,98
209,99
244,100
130,124
148,121
168,118
213,117
233,116
246,118
195,151
184,155
205,155
195,176
196,199
194,230
164,116
227,113
177,179
222,180
143,105
181,98
210,96
248,98
140,122
155,118
176,117
218,115
236,114
252,116
200,143
189,150
209,150
200,169
200,196
198,225
165,113
228,109
177,175
224,177
145,101
177,94
214,94
248,95
141,120
156,115
177,113
218,111
239,111
254,117
200,139
190,146
210,146
200,166
199,189
198,220
169,113
233,111
181,177
227,178
150,101
186,97
221,94
253,97
143,119
160,116
181,114
223,113
244,114
257,117
205,144
195,148
215,148
205,167
205,192
202,221
164,118
229,115
178,180
224,181
142,109
179,98
210,97
253,104
140,124
153,122
178,117
219,116
239,117
252,118
198,143
189,148
210,149
200,170
200,196
198,227
165,115
230,113
176,178
222,180
139,109
177,99
209,97
248,102
139,120
152,118
175,116
215,114
238,115
251,116
196,145
186,149
207,150
196,170
195,192
194,224
165,113
230,111
179,178
223,180
143,103
182,97
213,96
251,97
141,117
155,115
177,113
220,112
240,113
252,117
201,144
191,147
211,148
200,168
200,191
197,222
164,118
228,116
177,185
222,186
138,113
181,104
216,98
250,101
138,125
153,121
175,119
219,117
239,117
254,118
198,148
189,153
209,154
198,175
198,198
197,232
168,111
232,110
182,178
225,180
145,105
188,97
219,95
255,98
143,117
157,114
181,113
223,112
244,113
256,113
203,143
194,147
214,148
203,168
203,189
200,227
164,116
231,114
181,180
222,182
145,105
185,100
219,97
252,101
141,121
155,118
178,117
221,116
242,116
255,119
200,149
191,152
212,152
202,172
202,195
199,230
169,116
235,115
183,182
229,185
146,110
187,101
218,98
258,101
143,121
160,118
182,117
226,116
246,116
259,118
206,149
195,151
216,153
205,172
204,197
202,228
163,121
228,120
177,188
223,190
140,111
180,105
214,103
250,106
135,125
151,124
175,121
216,121
238,121
253,121
198,155
187,158
210,159
198,181
198,204
197,232
163,117
227,115
176,183
223,184
141,108
181,101
214,98
251,107
137,124
152,120
176,118
216,117
239,117
252,121
197,151
188,156
209,155
195,176
196,196
194,228
150,198
214,201
156,258
205,262
128,183
167,180
194,182
238,186
121,198
137,201
160,199
202,202
228,205
238,206
176,241
168,239
189,242
181,256
181,277
178,305
138,199
201,202
145,258
192,262
116,185
155,180
184,182
220,186
109,201
126,201
149,200
190,202
218,205
230,208
164,239
155,239
177,241
166,255
166,271
164,301
173,105
238,109
181,164
227,169
149,92
190,89
219,90
262,92
143,109
163,107
184,105
227,108
250,111
269,116
200,151
192,148
212,150
204,163
202,183
198,210
158,114
223,115
170,172
216,176
135,100
175,98
202,98
247,97
133,113
148,117
167,113
215,114
235,116
255,112
187,162
180,161
201,159
192,171
193,194
192,218
167,103
230,105
173,162
219,166
141,91
184,86
212,86
252,91
136,106
153,105
177,104
219,106
243,108
261,111
191,148
184,146
204,148
195,160
195,179
193,206
163,112
228,113
173,172
221,175
140,100
180,97
213,96
251,99
140,116
150,115
173,113
219,114
243,116
258,109
193,159
182,158
205,155
194,170
195,185
196,216
160,124
227,130
168,181
216,188
137,108
177,110
215,113
256,117
131,117
149,125
171,125
219,130
239,133
258,131
188,174
177,170
200,172
191,184
189,196
186,222
173,105
234,107
182,163
227,167
152,92
188,85
215,86
257,93
147,109
163,107
183,105
227,107
250,111
266,112
200,147
191,145
212,145
204,159
203,182
200,208
171,113
231,115
180,171
224,173
150,97
190,97
214,95
254,99
142,117
160,115
182,113
221,116
244,117
262,121
196,158
189,155
210,155
200,168
201,187
199,214
168,110
231,113
178,170
224,174
147,97
185,92
216,92
255,99
141,114
159,113
180,110
223,113
246,116
262,118
194,154
187,154
207,153
200,168
200,188
198,214
174,111
237,115
182,170
226,174
151,96
184,93
219,93
257,98
143,114
163,113
183,111
229,116
249,118
266,121
198,157
190,155
211,155
203,167
203,189
202,211
168,106
234,111
173,165
227,170
145,92
188,89
219,90
258,95
137,109
156,110
178,108
223,110
246,113
266,117
195,152
186,153
209,154
200,167
200,182
197,215
186,110
247,114
192,165
235,171
164,97
205,95
229,94
268,102
162,111
177,111
196,110
237,113
259,117
276,122
208,154
200,152
221,153
212,164
213,184
213,206
177,95
236,97
184,150
227,154
156,82
192,75
215,79
258,85
152,99
167,96
186,95
226,98
249,100
265,103
200,132
194,132
212,134
205,144
204,166
202,189
181,100
241,103
188,157
233,161
159,88
193,84
224,87
263,91
152,103
170,103
191,101
231,103
253,105
272,109
204,144
197,141
217,143
210,152
208,172
205,196
177,105
238,109
184,159
231,165
155,93
192,88
221,90
258,96
149,108
165,107
188,106
227,108
251,112
268,114
202,149
193,145
215,146
206,159
205,173
203,203
188,105
249,109
194,163
237,167
168,92
206,89
231,89
272,96
157,106
176,106
199,105
239,109
263,112
278,114
213,146
204,144
226,145
216,159
215,174
210,202
183,102
243,106
189,159
234,163
163,90
198,88
232,90
266,94
153,104
172,105
194,104
234,106
254,109
272,113
208,145
199,142
221,143
211,156
211,170
209,201
186,84
246,88
185,132
244,139
164,69
202,62
231,63
267,74
156,87
173,86
196,84
236,87
261,91
274,93
210,120
200,118
224,119
212,131
210,151
208,182
177,106
238,109
185,167
232,169
157,93
193,88
224,92
260,95
150,110
166,109
189,106
232,109
252,111
269,113
203,150
196,149
215,148
207,162
207,180
208,207
175,110
236,113
183,168
229,173
154,96
189,93
221,96
260,99
148,115
165,112
186,111
227,113
248,116
268,121
199,154
192,151
214,152
205,166
205,180
202,209
179,105
242,108
185,163
234,169
160,90
196,86
224,90
266,96
152,112
169,107
192,105
231,108
254,113
271,117
204,148
196,147
217,146
209,161
207,176
206,208
180,105
241,109
189,158
232,163
159,92
194,88
226,91
265,96
152,111
170,107
191,105
231,109
253,111
272,118
205,146
196,144
218,145
210,158
207,171
204,201
186,113
250,117
194,172
238,178
164,99
202,99
229,100
268,103
156,116
175,115
197,114
239,117
261,121
280,126
210,159
202,158
223,159
215,172
215,191
211,218
184,114
248,117
190,168
236,174
163,101
201,99
227,100
266,103
155,119
173,116
195,115
236,118
259,121
275,126
209,163
199,157
224,155
210,187
212,166
208,214
178,117
241,119
188,174
234,177
157,103
194,100
225,99
264,103
149,123
167,119
189,117
232,118
252,121
272,126
206,159
197,159
219,159
210,172
210,188
210,218
177,121
240,123
187,180
230,183
154,108
194,106
223,106
262,108
147,129
165,122
188,121
230,123
253,126
272,131
202,166
194,164
218,163
207,176
207,198
207,223
173,118
237,121
182,177
228,182
151,105
189,104
216,106
259,107
149,124
161,120
184,119
225,121
251,123
271,126
198,165
191,163
211,163
203,175
205,190
204,216
184,109
246,113
192,169
236,174
162,94
197,91
228,94
264,97
155,113
173,112
194,109
237,113
258,116
275,120
209,151
200,150
223,151
213,164
212,187
210,211
180,113
243,117
191,172
236,175
159,100
195,97
224,96
263,101
157,117
168,116
191,114
234,117
257,120
273,124
206,155
198,156
219,156
210,170
210,189
208,215
173,116
236,119
184,176
226,181
151,102
190,100
217,101
257,103
149,121
162,119
184,117
228,119
248,121
268,126
198,160
192,159
211,159
204,172
204,194
204,218
183,6
264,9
189,87
251,88
162,-7
212,-9
241,-8
287,-6
151,9
168,6
198,8
246,9
279,12
293,17
216,53
203,59
235,60
218,87
217,104
217,136
197,98
238,99
205,142
233,142
182,91
207,89
225,90
252,92
180,101
188,100
204,98
231,100
244,100
254,102
219,117
212,121
224,121
218,134
218,150
218,172
181,118
230,118
182,166
231,164
160,108
190,107
215,109
247,110
160,122
170,119
188,119
219,120
240,120
255,123
202,147
196,150
214,150
205,164
206,181
206,205
146,98
195,98
152,153
191,153
124,93
156,87
182,89
215,92
122,105
137,99
154,100
187,100
205,101
222,104
171,122
164,128
180,128
171,144
171,163
171,191
140,97
190,100
144,156
183,159
122,87
152,88
179,89
209,91
120,103
130,98
149,99
183,102
200,103
216,106
164,123
156,129
172,130
164,149
163,165
163,194
154,105
205,107
160,164
198,164
134,95
164,94
193,95
224,97
130,111
143,107
162,107
196,109
215,110
231,115
179,129
172,135
187,136
178,152
177,178
178,204
165,74
208,75
172,121
200,122
149,66
175,67
197,67
223,67
147,78
157,74
173,75
201,76
215,77
229,79
186,95
181,100
193,100
185,114
185,134
184,154
161,94
214,95
173,153
208,153
140,83
169,78
203,77
234,82
141,98
151,96
170,95
206,96
225,94
240,98
188,119
181,123
196,123
188,142
188,165
188,195
159,93
208,96
165,147
202,147
141,84
168,83
196,85
227,88
136,100
149,95
168,94
201,97
218,97
233,104
182,118
175,122
190,121
182,138
182,157
182,186
156,100
207,102
164,156
200,156
137,89
166,88
197,89
227,93
134,109
146,100
164,101
198,104
220,105
233,112
181,123
174,128
189,129
180,145
180,166
179,197
158,105
208,109
162,164
200,164
136,96
167,95
194,96
228,99
134,113
146,108
165,107
200,110
217,110
233,115
181,134
174,138
189,139
180,155
181,176
180,201
200,92
246,95
204,144
241,143
181,83
208,81
237,83
266,85
177,102
188,95
207,93
238,95
258,96
271,98
223,114
215,118
229,119
221,134
222,153
222,180
200,93
248,95
206,145
241,145
181,84
209,83
239,82
266,84
178,99
190,94
209,95
240,95
257,96
274,99
223,113
216,119
231,119
223,136
223,155
223,183
217,98
264,100
222,150
260,151
199,89
229,90
253,92
279,92
195,103
209,99
225,100
257,102
272,102
287,106
244,123
236,128
250,128
242,145
242,158
242,180
209,95
256,97
213,148
250,149
193,86
217,85
245,87
272,87
189,102
199,97
217,96
249,98
265,100
280,102
231,118
225,122
239,123
231,140
231,158
230,185
210,95
259,97
218,148
253,147
193,88
220,85
246,89
274,87
194,100
202,97
220,97
252,98
268,99
283,101
235,118
228,122
242,123
233,138
233,157
235,184
210,101
260,105
218,161
251,161
190,92
221,92
247,92
278,95
187,109
200,102
219,103
253,105
269,106
286,110
235,127
227,132
242,133
232,149
233,172
233,197
213,92
261,95
218,144
252,146
195,82
222,82
249,84
278,86
192,101
203,94
222,94
253,95
269,97
283,100
235,115
229,120
243,120
235,136
235,155
235,182
208,95
256,96
215,149
250,149
189,85
216,84
245,85
273,85
189,101
197,97
216,97
248,97
266,98
282,102
231,118
225,123
239,123
231,139
232,158
232,187
168,85
215,87
173,136
207,135
150,76
175,75
202,75
232,78
148,91
159,87
175,87
206,87
223,88
240,92
189,105
182,109
195,109
189,123
189,143
189,172
181,99
229,99
190,151
230,149
162,90
192,89
218,89
246,89
158,104
173,100
189,99
223,100
238,100
248,100
213,120
203,126
218,126
211,142
210,158
211,182
173,100
223,104
176,151
220,150
155,89
181,88
210,90
242,93
154,101
165,101
182,100
216,104
231,105
246,105
196,121
190,127
204,128
196,145
197,159
197,185
175,95
225,96
182,149
218,150
155,87
184,84
212,86
243,87
152,102
165,96
185,97
216,98
235,100
249,102
199,114
193,122
207,122
199,137
198,160
198,187
175,94
224,97
182,151
217,151
155,87
184,84
212,86
243,87
152,102
165,96
185,96
216,98
235,100
249,102
199,114
193,121
207,121
198,136
198,164
197,191
178,54
259,57
183,138
244,141
149,34
195,42
233,44
287,43
148,59
160,54
190,55
240,57
273,59
290,65
207,101
195,104
223,105
208,134
213,159
209,191
174,67
261,69
182,156
240,158
143,55
194,53
231,57
288,54
142,76
158,69
190,68
241,70
274,71
294,72
209,117
196,120
227,122
212,151
212,174
213,208
182,61
268,64
192,153
250,154
151,48
202,48
241,53
297,52
150,68
165,63
198,64
253,65
285,67
299,75
221,115
208,117
237,118
221,149
220,172
219,206
164,62
250,62
171,153
234,153
134,48
181,48
220,50
280,48
134,73
148,65
180,63
233,64
265,65
288,71
197,108
186,114
215,115
202,147
202,172
205,206
162,56
248,58
173,148
232,149
132,46
182,43
220,44
277,47
131,63
145,59
177,59
232,58
265,61
282,64
199,106
188,108
215,109
201,140
199,169
200,205
166,54
251,55
172,140
236,141
135,40
185,39
220,39
276,42
132,58
149,56
180,55
231,55
264,57
282,61
200,100
189,102
216,102
